analytics-pipeline	ci	lex: cache miss job took 20m%%vec: cache miss job took 20m
analytics-pipeline	errors	lex: unhandled promise rejection 500%%vec: unhandled promise rejection 500
analytics-pipeline	migrations	lex: column_does_not_exist relation already exists%%vec: column_does_not_exist relation already exists
analytics-pipeline	nullhandling	lex: TypeError undefined is not an object%%vec: TypeError undefined is not an object
analytics-pipeline	pagination	lex: OFFSET_SKEW cursor_invalid%%vec: OFFSET_SKEW cursor_invalid
analytics-pipeline	performance	lex: OOMKilled heap_used_bytes%%vec: OOMKilled heap_used_bytes
analytics-pipeline	secrets	lex: AWS_SECRET_ACCESS_KEY committed%%vec: AWS_SECRET_ACCESS_KEY committed
analytics-pipeline	timezones	lex: DST_OFFSET_ERROR UTC conversion%%vec: DST_OFFSET_ERROR UTC conversion
analytics-pipeline	auth	lex: 401 invalid_grant refresh_token_expired%%vec: 401 invalid_grant refresh_token_expired
analytics-pipeline	featureflags	lex: FLAG_EVAL_DEFAULT variant_mismatch%%vec: FLAG_EVAL_DEFAULT variant_mismatch
analytics-pipeline	localization	lex: i18n missing_key layout overflow%%vec: i18n missing_key layout overflow
analytics-pipeline	observability	lex: trace_id missing span_context null%%vec: trace_id missing span_context null
analytics-pipeline	ratelimit	lex: HTTP 429 Retry-After%%vec: HTTP 429 Retry-After
analytics-pipeline	retries	lex: ERR_DUPLICATE_CHARGE idempotency_key%%vec: ERR_DUPLICATE_CHARGE idempotency_key
data-warehouse	auth	lex: 401 invalid_grant refresh_token_expired%%vec: 401 invalid_grant refresh_token_expired
data-warehouse	flakytests	lex: test_timeout intermittent CI failure%%vec: test_timeout intermittent CI failure
data-warehouse	localization	lex: i18n missing_key layout overflow%%vec: i18n missing_key layout overflow
data-warehouse	migrations	lex: column_does_not_exist relation already exists%%vec: column_does_not_exist relation already exists
data-warehouse	retries	lex: ERR_DUPLICATE_CHARGE idempotency_key%%vec: ERR_DUPLICATE_CHARGE idempotency_key
data-warehouse	caching	lex: stale_cache_hit ETag mismatch%%vec: stale_cache_hit ETag mismatch
data-warehouse	ci	lex: cache miss job took 20m%%vec: cache miss job took 20m
data-warehouse	performance	lex: OOMKilled heap_used_bytes%%vec: OOMKilled heap_used_bytes
data-warehouse	secrets	lex: AWS_SECRET_ACCESS_KEY committed%%vec: AWS_SECRET_ACCESS_KEY committed
data-warehouse	timezones	lex: DST_OFFSET_ERROR UTC conversion%%vec: DST_OFFSET_ERROR UTC conversion
document-service	ci	lex: cache miss job took 20m%%vec: cache miss job took 20m
document-service	auth	lex: 401 invalid_grant refresh_token_expired%%vec: 401 invalid_grant refresh_token_expired
document-service	caching	lex: stale_cache_hit ETag mismatch%%vec: stale_cache_hit ETag mismatch
document-service	featureflags	lex: FLAG_EVAL_DEFAULT variant_mismatch%%vec: FLAG_EVAL_DEFAULT variant_mismatch
document-service	flakytests	lex: test_timeout intermittent CI failure%%vec: test_timeout intermittent CI failure
document-service	localization	lex: i18n missing_key layout overflow%%vec: i18n missing_key layout overflow
document-service	migrations	lex: column_does_not_exist relation already exists%%vec: column_does_not_exist relation already exists
document-service	nullhandling	lex: TypeError undefined is not an object%%vec: TypeError undefined is not an object
document-service	pagination	lex: OFFSET_SKEW cursor_invalid%%vec: OFFSET_SKEW cursor_invalid
document-service	performance	lex: OOMKilled heap_used_bytes%%vec: OOMKilled heap_used_bytes
document-service	ratelimit	lex: HTTP 429 Retry-After%%vec: HTTP 429 Retry-After
document-service	retries	lex: ERR_DUPLICATE_CHARGE idempotency_key%%vec: ERR_DUPLICATE_CHARGE idempotency_key
document-service	secrets	lex: AWS_SECRET_ACCESS_KEY committed%%vec: AWS_SECRET_ACCESS_KEY committed
identity-service	caching	lex: stale_cache_hit ETag mismatch%%vec: stale_cache_hit ETag mismatch
identity-service	featureflags	lex: FLAG_EVAL_DEFAULT variant_mismatch%%vec: FLAG_EVAL_DEFAULT variant_mismatch
identity-service	migrations	lex: column_does_not_exist relation already exists%%vec: column_does_not_exist relation already exists
identity-service	performance	lex: OOMKilled heap_used_bytes%%vec: OOMKilled heap_used_bytes
identity-service	timezones	lex: DST_OFFSET_ERROR UTC conversion%%vec: DST_OFFSET_ERROR UTC conversion
identity-service	auth	lex: 401 invalid_grant refresh_token_expired%%vec: 401 invalid_grant refresh_token_expired
identity-service	ci	lex: cache miss job took 20m%%vec: cache miss job took 20m
identity-service	errors	lex: unhandled promise rejection 500%%vec: unhandled promise rejection 500
identity-service	flakytests	lex: test_timeout intermittent CI failure%%vec: test_timeout intermittent CI failure
identity-service	localization	lex: i18n missing_key layout overflow%%vec: i18n missing_key layout overflow
identity-service	nullhandling	lex: TypeError undefined is not an object%%vec: TypeError undefined is not an object
identity-service	observability	lex: trace_id missing span_context null%%vec: trace_id missing span_context null
identity-service	pagination	lex: OFFSET_SKEW cursor_invalid%%vec: OFFSET_SKEW cursor_invalid
identity-service	secrets	lex: AWS_SECRET_ACCESS_KEY committed%%vec: AWS_SECRET_ACCESS_KEY committed
k8s-platform	featureflags	lex: FLAG_EVAL_DEFAULT variant_mismatch%%vec: FLAG_EVAL_DEFAULT variant_mismatch
k8s-platform	flakytests	lex: test_timeout intermittent CI failure%%vec: test_timeout intermittent CI failure
k8s-platform	performance	lex: OOMKilled heap_used_bytes%%vec: OOMKilled heap_used_bytes
k8s-platform	caching	lex: stale_cache_hit ETag mismatch%%vec: stale_cache_hit ETag mismatch
k8s-platform	errors	lex: unhandled promise rejection 500%%vec: unhandled promise rejection 500
k8s-platform	localization	lex: i18n missing_key layout overflow%%vec: i18n missing_key layout overflow
k8s-platform	migrations	lex: column_does_not_exist relation already exists%%vec: column_does_not_exist relation already exists
k8s-platform	nullhandling	lex: TypeError undefined is not an object%%vec: TypeError undefined is not an object
k8s-platform	observability	lex: trace_id missing span_context null%%vec: trace_id missing span_context null
k8s-platform	pagination	lex: OFFSET_SKEW cursor_invalid%%vec: OFFSET_SKEW cursor_invalid
k8s-platform	retries	lex: ERR_DUPLICATE_CHARGE idempotency_key%%vec: ERR_DUPLICATE_CHARGE idempotency_key
